1	2	3
1	4	5
3	4	1
4	6	5
7	8	9
7	10	11
9	10	7
2	11	10
2	1	11
1	12	11
5	13	1
13	12	1
14	5	6
14	15	5
15	13	5
14	16	15
17	8	7
18	8	17
11	19	7
19	17	7
12	20	11
20	19	11
13	21	12
21	20	12
15	22	13
22	21	13
23	15	16
22	15	23
24	18	17
25	18	24
19	26	17
26	24	17
20	27	19
27	26	19
21	28	20
28	27	20
22	29	21
29	28	21
30	22	23
29	22	30
24	31	25
31	32	33
31	24	32
24	26	32
27	34	26
34	32	26
28	35	27
35	34	27
36	29	37
36	35	29
35	28	29
30	37	29
32	38	33
34	38	32
39	38	34
35	39	34
40	39	35
36	40	35
41	42	43
41	44	45
43	44	41
45	3	2
45	44	3
44	46	3
4	3	47
3	46	47
6	48	49
6	4	48
4	47	48
48	50	49
9	42	41
9	8	42
8	51	42
10	9	41
45	10	41
2	10	45
6	49	14
16	52	53
14	52	16
14	50	52
14	49	50
52	54	53
55	56	57
55	57	51
55	51	18
18	51	8
53	58	23
16	53	23
59	53	54
58	53	59
60	56	55
61	56	60
18	25	60
55	18	60
58	62	30
23	58	30
63	58	59
62	58	63
60	64	61
65	66	64
31	65	64
31	64	60
31	60	25
31	33	65
37	67	36
37	68	67
30	68	37
30	69	68
30	62	69
63	69	62
65	70	66
71	72	70
38	71	70
38	70	65
38	65	33
38	39	73
71	38	73
39	40	74
73	39	74
40	75	74
36	75	40
36	76	75
36	67	76
68	76	67
71	77	72
73	77	71
78	77	73
74	78	73
79	78	74
75	79	74
80	81	82
80	83	84
82	83	80
84	85	86
83	85	84
85	87	86
88	89	90
88	43	42
88	90	43
90	91	43
81	80	44
81	44	91
91	44	43
46	44	80
84	46	80
47	46	84
86	47	84
86	87	92
86	92	47
47	92	48
92	50	48
93	50	92
94	89	88
95	89	94
42	51	94
88	42	94
50	93	96
52	50	96
96	54	52
97	54	96
57	95	94
57	56	95
56	98	95
51	57	94
54	97	59
97	99	59
56	61	98
98	61	100
59	99	63
99	101	63
102	61	64
102	103	61
103	100	61
64	66	102
69	104	68
69	105	104
69	63	105
63	101	105
102	106	103
107	108	106
70	107	106
70	106	102
70	102	66
70	72	107
76	109	75
76	110	109
68	110	76
68	111	110
68	104	111
105	111	104
107	112	108
72	112	107
72	77	112
77	113	112
78	114	77
77	114	113
79	115	78
78	115	114
109	79	75
109	116	79
116	115	79
110	116	109
82	117	118
81	117	82
83	82	119
82	118	119
85	83	120
83	119	120
87	121	122
87	85	121
85	120	121
121	123	122
90	124	125
89	124	90
91	90	126
90	125	126
117	81	91
126	117	91
87	122	92
93	127	128
92	127	93
92	123	127
92	122	123
127	129	128
89	95	124
124	95	130
93	128	96
128	97	96
128	129	97
129	131	97
95	98	130
130	98	132
97	131	99
131	133	99
98	100	132
132	100	134
99	133	101
133	135	101
100	103	134
134	103	136
101	135	105
135	137	105
103	138	136
106	138	103
138	106	108
139	138	108
111	140	141
110	111	141
137	111	105
140	111	137
108	142	139
112	142	108
143	144	142
143	142	113
113	142	112
113	114	145
143	113	145
146	145	114
146	114	147
147	114	115
116	148	115
115	148	147
141	116	110
148	116	141
143	149	144
145	149	143
150	149	145
146	150	145
118	151	152
117	151	118
119	118	153
118	152	153
120	119	154
119	153	154
155	154	156
155	121	154
121	120	154
121	155	123
125	124	157
158	125	157
158	159	125
159	126	125
151	117	126
159	151	126
155	156	160
161	160	162
