1	2	3
1	4	5
3	4	1
5	6	7
4	6	5
6	8	7
9	10	11
2	9	11
2	1	9
1	12	9
5	13	1
13	12	1
7	14	5
14	13	5
15	7	8
15	16	7
16	14	7
15	17	16
18	10	9
19	10	18
12	20	9
20	18	9
13	21	12
21	20	12
14	22	13
22	21	13
16	23	14
23	22	14
24	16	17
23	16	24
25	19	18
26	19	25
20	27	18
27	25	18
21	28	20
28	27	20
22	29	21
29	28	21
23	30	22
30	29	22
31	23	24
30	23	31
25	32	26
32	33	34
32	25	33
25	27	33
28	35	27
35	33	27
29	36	28
36	35	28
37	30	38
37	36	30
36	29	30
31	38	30
33	39	34
35	39	33
40	39	35
36	40	35
41	40	36
37	41	36
42	43	44
42	45	46
44	45	42
46	47	48
45	47	46
47	49	48
50	51	52
43	50	52
42	50	43
42	2	50
42	3	2
4	3	42
46	4	42
6	4	46
48	6	46
8	53	54
6	53	8
6	49	53
6	48	49
53	55	54
56	57	58
51	56	58
50	56	51
50	10	56
50	11	10
2	11	50
8	54	15
17	59	60
15	59	17
15	55	59
15	54	55
59	61	60
62	57	56
63	57	62
10	19	62
56	10	62
60	64	24
17	60	24
65	60	61
64	60	65
66	63	62
67	63	66
19	26	66
62	19	66
64	68	31
24	64	31
69	64	65
68	64	69
66	70	67
71	72	70
32	71	70
32	70	66
32	66	26
32	34	71
38	73	37
38	74	73
31	74	38
31	75	74
31	68	75
69	75	68
71	76	72
77	78	76
39	77	76
39	76	71
39	71	34
39	40	79
77	39	79
40	41	80
79	40	80
41	81	80
37	81	41
37	82	81
37	73	82
74	82	73
77	83	78
79	83	77
84	83	79
80	84	79
85	84	80
81	85	80
86	87	88
86	44	43
86	88	44
88	89	44
45	44	90
44	89	90
47	45	91
45	90	91
91	49	47
92	49	91
93	94	95
87	93	95
86	93	87
86	51	93
86	52	51
43	52	86
49	92	96
53	49	96
55	97	98
55	53	97
53	96	97
97	99	98
58	94	93
58	57	94
57	100	94
51	58	93
55	98	59
98	61	59
98	99	61
99	101	61
57	63	100
100	63	102
61	101	65
101	103	65
63	67	102
102	67	104
65	103	69
103	105	69
106	67	70
106	107	67
107	104	67
70	72	106
75	108	74
75	109	108
75	69	109
69	105	109
106	110	107
111	112	110
76	111	110
76	110	106
76	106	72
76	78	111
82	113	81
82	114	113
74	114	82
74	115	114
74	108	115
109	115	108
111	116	112
78	116	111
78	83	116
83	117	116
118	119	117
118	117	84
84	117	83
120	118	84
120	84	121
121	84	85
113	85	81
113	122	85
122	121	85
114	122	113
118	123	119
120	123	118
88	124	125
87	124	88
89	88	126
88	125	126
90	89	127
89	126	127
91	90	128
90	127	128
92	129	130
92	91	129
91	128	129
129	131	130
95	132	133
94	132	95
124	87	95
133	124	95
92	130	96
130	131	134
130	134	96
96	134	97
134	99	97
135	99	134
94	100	132
132	100	136
99	135	101
135	137	101
138	139	140
138	140	136
138	136	102
102	136	100
101	137	103
137	141	103
138	142	139
142	138	102
142	102	143
143	102	104
103	141	105
141	144	105
104	107	143
143	107	145
105	144	109
144	146	109
107	147	145
110	147	107
147	110	112
148	147	112
115	149	150
114	115	150
146	115	109
149	115	146
112	151	148
116	151	112
152	153	151
152	151	117
117	151	116
117	119	152
121	154	120
155	154	121
155	121	156
156	121	122
150	122	114
156	122	150
152	157	153
119	157	152
119	123	157
123	158	157
154	123	120
154	159	123
159	158	123
155	159	154
125	124	160
161	125	160
